Gender,Are you confident in your chosen career path?,What factors affect your career decision-making process?,How_did you_choose_your_career_path? ,Have you sought advice from a career counselor or career advisor?,Did you face pressure in choosing a career path?,Do you think your current career choice aligns with your skills and strengths?,Have you ever thought that the path you have chosen is not suitable for you? You could have done better if you had chosen another path.,"If you realize that your initially chosen career path is not suitable for you, are you confident in shifting to a different career path?",Do you believe that choosing the wrong career path can lead to academic failure?,Do you think schools/colleges should offer career counseling and guidance programs?,"In your opinion, what can educational institutions do to help students choose their career paths more effectively? (Open-ended)"
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,Yes,
Male,Yes,Parental expectations,Through professional counseling,Yes,Yes,Yes,No,No,Yes,Yes,"There must be counseling sessions for students which can help in choosing their career path based on their interest and educational background. Mostly students don't know much about the sub-field of their programs, for example 85% of FSc (Pre-medical) students thinks there's just two ways to enter medical profession MBBS and D-pharm but infact there are a lot more. That's why i said there must be counseling and career choosing sessions for the students in their local institutes. That was just my point of view."
Female,No,Other,Considering my educational background and qualifications,No,No,Yes,Yes,Yes,Yes,No,"I think it's up to us. If we have proper knowledge about the subject we are studying and how it can help in choosing a career then I think choosing the right career path is not difficult. Most of the students do not know about the subject in which they are taking admission. ""And what is the career?"" Everyone should know the answer  of this question, and it should be taught in school or college in every study period."
Male,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,Yes,Yes,Yes,I think institutions should arrange specific activities during school and highschool time so that they can identify students interests and help them choose right Carrer path
Male,Yes,Financial stability,Through professional counseling,No,No,No,Yes,No,No,Yes,
Female,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,No,Yes,Yes,
Female,Yes,Financial stability,Other,Yes,No,Yes,No,Yes,Yes,Yes,"Student's mind need to be developed in a proper environment where depending upon their interests they should be properly advised and encouraged for those careers they really are interested in.In my opinion,the most traumatic phase a student face in his/her life is right after the Intermediate exams.A very crucial decision has to be made and in this whole phase he/she faced lots of mental pressure and confusion.This thing should be taken under consideration in educational institutions."
Female,Yes,Financial stability,Talked to friends/family,No,No,Yes,No,No,Yes,Yes,They should conduct workshops to guide students before taking admission in their bachelor's as it is the base for their further progress and their whole career depends on this decision.  
Male,Yes,Parental expectations,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,Yes,
Male,Yes,Other,Talked to friends/family,No,No,No,No,No,Yes,Yes,Institution sincerity about education and career counseling according to need in the market
Male,Yes,Job market trends,Other,No,Yes,Yes,No,No,Yes,No,Institute should have to improve the intersts of students abou bright future and to motivate the students about the successful career such as market job trends.
Female,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,Yes,Yes,Yes,"First they need pop their own bubble and come out of the world of doctors and engineers and please encourage their students to explore more career options especially like architecture, bioinformatics etc "
Female,Yes,Financial stability,Based on financial stability,Yes,No,Yes,Yes,Yes,Yes,No,Yss 
Female,Yes,Passion for a specific field,Talked to friends/family,Yes,Yes,Yes,No,No,Yes,Yes,They should offer career counseling and guidance programs to students by giving them advice individually. They should understand each child individually then they provide advice or career counseling.At intermideat level students are so confused so they are in search of advice or someone who understand them better and give honst counselling.
Female,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,Yes,"Educational institutions can provide career counseling, workshops, internships, and career fairs to guide students in making better career path. "
Male,Yes,Passion for a specific field,Considering my educational background and qualifications,Yes,No,Yes,Yes,Yes,No,Yes,
Female,Yes,Passion for a specific field,Based on personal interests and passion,Yes,Yes,Yes,No,No,No,Yes,Educational institution should help student to find the field of their interest and their must be career counseling 
Male,No,Passion for a specific field,Through professional counseling,Yes,Yes,Yes,Yes,No,Yes,Yes,"Proper carrier counselling, market research results,  show market demand, priority given to personal interest "
Male,No,Passion for a specific field,Considering my educational background and qualifications,No,Yes,Yes,No,Yes,Yes,Yes,
Male,No,Financial stability,Based on personal interests and passion,No,No,Yes,Yes,Yes,Yes,Yes,
Male,Yes,Job market trends,Talked to friends/family,No,No,Yes,Yes,Yes,No,No,Thay should tell them market trends or ask student what they like or not and then provide them proper guidelines 
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,Yes,Yes,Yes,"In general, Schools should organise career counselling for matric Students so that they don't have to study those subjects whom are not necessary for his future journey. But In Pakistan we don't see anything like that even in universities Students are still doubtful about their career because they don't know still wheather they chose a right career or not. So if possible Societies of Universities should organise ka career counselling session where students van question about their respective careers to respective professionals. They should educate students on how to determine that you career is perfect for you and how it is not. Societies should also organise some sessions where professional can guide them about career opportunities, required skills and all about how to build strong academic background in order to achieve a successful career."
Male,Yes,Job market trends,Through professional counseling,Yes,No,Yes,No,No,No,Yes,They should provide a separate counciling teacher 
Male,Yes,Financial stability,Based on personal interests and passion,Yes,No,No,No,No,Yes,No,
Male,Yes,Financial stability,Through professional counseling,Yes,Yes,Yes,No,No,No,Yes,Yes
Female,Yes,Other,Considering my educational background and qualifications,No,Yes,No,Yes,Yes,Yes,Yes,
Male,Yes,Financial stability,Based on personal interests and passion,No,Yes,Yes,Yes,No,Yes,No,
Male,Yes,Passion for a specific field,Talked to friends/family,No,No,Yes,No,No,Yes,Yes,
Male,Yes,Financial stability,Based on personal interests and passion,No,Yes,No,No,No,No,Yes,My opinion is that there is a career consoling team made by the government in every college and university to give the true direction about the future of students.
Male,Yes,Financial stability,Through professional counseling,Yes,No,Yes,No,No,Yes,Yes,Very good opinion
Female,Yes,Job market trends,Based on personal interests and passion,Yes,No,Yes,No,Yes,No,Yes,"Every educational institutions should learn the students any career is not wrong its totally depend upon you, how much your struggle involved to achieve that career"
Female,No,Parental expectations,Talked to friends/family,No,Yes,No,Yes,Yes,Yes,Yes,
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,Yes,Institutes should arrange career counselling session for Students
Female,Yes,Job market trends,Considering my educational background and qualifications,No,No,Yes,No,No,Yes,Yes,
Male,No,Job market trends,Talked to friends/family,No,Yes,Yes,Yes,Yes,Yes,Yes,
Male,No,Passion for a specific field,Considering my educational background and qualifications,No,No,No,Yes,No,No,Yes,
Female,Yes,Other,Based on personal interests and passion,No,No,Yes,Yes,Yes,Yes,Yes,
Male,Yes,Job market trends,Talked to friends/family,No,No,Yes,No,No,Yes,Yes,Only teach Students and make effective 
Female,Yes,Job market trends,Based on personal interests and passion,No,No,No,No,Yes,No,Yes,
Female,Yes,Parental expectations,Based on personal interests and passion,Yes,No,Yes,No,Yes,No,Yes,Test their skills 
Male,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,No,No,Yes,A perfect career counseling sessions to let the students select their their profession according to their interest.
Male,Yes,Job market trends,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,Yes,Yes 
Female,No,Passion for a specific field,Talked to friends/family,No,No,No,Yes,No,Yes,Yes,Must provide career counselling and guidance . They must aware students of the best opportunities for their career according to their skills.
Male,Yes,Passion for a specific field,Considering my educational background and qualifications,No,Yes,No,Yes,Yes,Yes,Yes,Encourage passions of Students
Male,No,Financial stability,Based on personal interests and passion,No,Yes,Yes,Yes,No,Yes,Yes,
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,Yes,There must be some practical activities for students. On the basis of the interest of students in these activities they must select their field.
Female,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,No,Yes,Yes,
Female,Yes,Financial stability,Considering my educational background and qualifications,Yes,No,No,Yes,Yes,Yes,Yes,There should be a proper career consoling of a student before choosing their academic career 
Male,Yes,Financial stability,Based on financial stability,No,No,No,Yes,Yes,Yes,Yes,After getting the admissions there should be counselling sessions so if anyone make there mind so he should easily switch
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,Yes,Yes,Yes,No,Yes,Yes,According to my opinion educational should organize career counseling seminars and sessions then invite successful and most dedicated personalities of this era to motivates its students 
Male,Yes,Parental expectations,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,No,"FIRST OF ALL every student has its own willing and parental pressure. but there are no concept of career counseling in pskistan schools and colleges therefore,the student not took great achievement and success they fall in failure that's why ... my suggestion is that in every schools and colleges must gave extra lectures about career counselling then the student will decie the right path what can they do in their future..."
Female,Yes,Financial stability,Talked to friends/family,No,Yes,No,Yes,No,Yes,Yes,There should be career counseling program in school college because student face difficulties in choosing a right profession 
Male,Yes,Other,Talked to friends/family,No,Yes,Yes,Yes,Yes,Yes,Yes,Education institutions should offer career counseling and guidance program.
Female,Yes,Other,Considering my educational background and qualifications,No,Yes,Yes,No,No,Yes,Yes,Students interest matter what kind of field they choose
Male,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,No,Yes,Yes,
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,No,No,No,Yes,No, sorry 😐 
Female,Yes,Financial stability,Based on financial stability,Yes,No,Yes,No,Yes,Yes,Yes,
Male,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,Yes,Yes,Yes,
Female,Yes,Job market trends,Other,Yes,No,Yes,No,No,No,Yes,"In my opinion,techers should also guide jobs opportunity to this field"
Female,Yes,Other,Based on personal interests and passion,No,No,Yes,No,No,Yes,Yes,There should be a keen and thorough counseling from school level. Teachers should identify one's skills and encourage them to pursue whatever a student wants besides any pressure.
Female,Yes,Financial stability,Other,No,Yes,Yes,No,No,Yes,Yes,They should motivate students & tell them about the opportunities they can get 
Male,Yes,Job market trends,Talked to friends/family,Yes,No,Yes,Yes,Yes,Yes,Yes,
Female,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,Yes,Career counselling is toady's basic need for every student to choose best career.
Male,Yes,ho,Talked to friends/family,No,No,Yes,Yes,No,Yes,No,Yes
Female,Yes,Parental expectations,Based on financial stability,Yes,No,Yes,Yes,No,Yes,Yes,..
Female,Yes,Other,Based on personal interests and passion,Yes,No,Yes,Yes,Yes,Yes,Yes,Check students interest and guide them
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,No,Yes,Yes,
Male,No,Passion for a specific field,Based on personal interests and passion,Yes,Yes,Yes,Yes,No,Yes,Yes,"I think we need to strong our school system,if our base was strong it help us in our pratical life and we will success. our school system is not perfect And almost student do not know about what they can do in our practial life , they have no dreams, therefore we are not succes "
Male,Yes,Passion for a specific field,Based on personal interests and passion,No,Yes,Yes,Yes,No,Yes,Yes,"I think educational institutes must develep the students mind in such crystal & clear way that students not feel shyness in choosing career of his own interest......A Teacher build a Strong-Mind(Bull-Head)...So...Role of teacher is Important to produce a ""Strong and Healthy Mind Nation""."
Male,Yes,Job market trends,Talked to friends/family,No,No,No,No,No,No,Yes,
Female,Yes,Financial stability,Through professional counseling,Yes,No,Yes,No,No,No,Yes,
Female,Yes,Financial stability,Based on personal interests and passion,No,No,Yes,No,Yes,No,No,
Female,No,Parental expectations,Talked to friends/family,No,No,No,Yes,Yes,Yes,Yes,They should offer the carrer counselling  to students make s
Female,No,Passion for a specific field,Talked to friends/family,No,Yes,Yes,Yes,Yes,Yes,Yes,There should be the need of carrer counselor who timely motivate the students to chose the right path 
Female,Yes,Parental expectations,Based on personal interests and passion,No,Yes,Yes,No,No,Yes,Yes,
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,Yes,Yes,Yes,Yes,No,Yes,
Female,No,Financial stability,Based on financial stability,No,Yes,No,No,No,Yes,Yes,
Female,No,Financial stability,Based on financial stability,No,Yes,No,No,No,Yes,Yes,
Female,No,Parental expectations,Talked to friends/family,No,Yes,No,Yes,No,Yes,Yes,
Female,No,Parental expectations,Talked to friends/family,No,Yes,No,No,No,Yes,Yes,
Female,No,Financial stability,Based on financial stability,No,Yes,No,No,No,Yes,Yes,
Female,No,Financial stability,Based on financial stability,No,Yes,No,No,No,Yes,Yes,
